"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez"
"105378580",86.1344748815041,0.321284629025039,0.108301023868383,2.96658902703906,0.00301123167929299,0.0188295817625798,"105378580"
"400728",9.88010066713599,-0.118723015284648,0.25076891585801,-0.473435931556489,0.635902199903543,0.775085861070043,"400728"
"79854",56.9603998914808,0.32380715887578,0.160302587125261,2.01997462849902,0.043386019316306,0.13080727840232,"79854"
"643837",1292.98496465119,-0.219537162923058,0.115278956019176,-1.90439929805175,0.0568582005638039,0.157334917593045,"643837"
"107984850",32.5182595633095,0.375704108146724,0.226341815415415,1.65989703430264,0.0969351681948909,0.227547732010056,"107984850"
"284593",8.93276735446239,0.354144246946923,0.222903420712679,1.5887788792771,0.112110323238944,0.251830746188109,"284593"
"284600",11.9943597927972,-0.105965345779467,0.237969339363643,-0.445289910300337,0.65611025842918,0.789956581483972,"284600"
"100130417",31.9559943630124,0.456311177670354,0.259047991977891,1.76149281909623,0.0781550273434104,0.196454517550708,"100130417"
"107985728",15.7781141063535,0.431036131116526,0.369818318261755,1.1655348311098,0.24380256967269,0.424306921914782,"107985728"
"148398",396.411318200221,0.450598209425645,0.154270466040238,2.92083261943421,0.00349097326351812,0.0209603355619294,"148398"
"26155",2138.31022760245,-0.160523382940055,0.0790142563446519,-2.03157493807027,0.0421967059963794,0.128243970091123,"26155"
"339451",454.7006282694,0.265595814929792,0.135965979266011,1.95339905146541,0.0507723285464642,0.145354559005189,"339451"
"84069",6.19430427176681,0.026497238823503,0.311979034889998,0.0849327546411759,0.932314851421559,0.963378498272468,"84069"
"84808",7.79941636622641,0.257967455632735,0.2845941317299,0.906439827359353,0.364703100404034,0.551200879737572,"84808"
"57801",402.74769039497,-0.64018210900762,0.166042795302816,-3.85552476299923,0.000115481639567244,0.00169556859521127,"57801"
"9636",422.271019448997,0.114259690320665,0.187292337192904,0.610060678579616,0.541821613037236,0.704534335064975,"9636"
"375790",4105.53802208735,-0.527767585859813,0.129085731401527,-4.08850443910155,4.34163240162141e-05,0.000817014689242246,"375790"
"100288175",94.9248281223025,-0.17315928874939,0.153856695775738,-1.12545825760997,0.260394896157072,0.443032617551559,"100288175"
"112267874",27.8205167614923,-0.114871860429936,0.171726724882918,-0.66892244354078,0.503544952605392,0.673283207136267,"112267874"
"105378948",102.280336521661,-0.0632402027321201,0.153383679826247,-0.412300727194435,0.680119015707797,0.806737401039969,"105378948"
"54991",629.74830586526,-0.35228500654221,0.115957404912882,-3.03805528251413,0.00238110268539328,0.0158789704583972,"54991"
"8784",59.7397140997067,-0.674501648493609,0.191980278071147,-3.51339030899644,0.00044242704750381,0.00460412977349887,"8784"
"7293",36.9786369980606,0.00823777674209501,0.196997894532904,0.0418165725152919,0.966644923611701,0.982156594049033,"7293"
"51150",2702.73644185324,-0.327605795252853,0.0867064640917835,-3.77833185431325,0.000157882398931697,0.0021265245195288,"51150"
"126792",742.910301337363,-0.185695363072976,0.104509750127462,-1.77682333798041,0.0755973107848196,0.19191837156954,"126792"
"388581",28.7882798236385,-0.0621834048972016,0.192184341860777,-0.323561244871076,0.746270232889422,0.850796987342893,"388581"
"118424",1231.34576197754,0.0159784837391521,0.0694575191906669,0.230046853462902,0.818055362092855,0.896545492692695,"118424"
"101928895",163.896059405069,-0.765605287019167,0.175899831284974,-4.35250722770061,1.34589433567408e-05,0.000343902584877385,"101928895"
"6339",941.205636477148,-0.531882814902344,0.130718229791818,-4.06892608436803,4.72303264598506e-05,0.000872151912002143,"6339"
"116983",8330.55167444696,-0.470319237531883,0.12354163974895,-3.80696936261834,0.000140680165312672,0.00195591580517579,"116983"
"109623456",71.2390401221715,-1.04543891319619,0.220856251431242,-4.73357175276362,2.2060292685173e-06,8.29149930419325e-05,"109623456"
"126789",324.363968160626,-0.00574648038663239,0.11414178988056,-0.050345104914209,0.9598473807958,0.978071071895766,"126789"
"54973",2579.54856510903,-0.15118454959621,0.114392089117576,-1.32163465815208,0.186289836631258,0.355233173876309,"54973"
"102465435",14.426198390321,-0.067836825916492,0.214731253199236,-0.315915009602958,0.752067018913876,0.854435172486689,"102465435"
"80772",948.865767428222,-0.11177503761412,0.0943408953013368,-1.1847994155355,0.236096763743754,0.415425522518627,"80772"
"83756",63.6895759426849,0.440363808804173,0.161002891586052,2.73512981329786,0.00623556796390073,0.0316936178782631,"83756"
"1855",4169.2423611416,0.0544571644276497,0.0957414933872147,0.568793764344205,0.569496106888898,0.725852110517266,"1855"
"54587",940.747449215556,-0.247957329401061,0.158408144649825,-1.5653066952409,0.117511014023674,0.259807360650829,"54587"
"54998",2223.06702008472,0.0714858080933609,0.123612531034323,0.578305512355474,0.563057873453165,0.720746131862834,"54998"
"81669",5454.15839680006,-0.0766083374394306,0.101130533253073,-0.757519366062504,0.448738768031389,0.626872451521913,"81669"
"148413",626.840947036919,-0.255610127715777,0.0907921366265621,-2.8153333230512,0.00487266656253982,0.0266759502836952,"148413"
"55052",1574.47233884125,0.00391783103248019,0.0968384390108965,0.0404573955600353,0.967728472629683,0.982882967759286,"55052"
"107984868",91.9768903401257,0.565056541666597,0.235815391715786,2.39618176555509,0.0165668725347192,0.0650524232148463,"107984868"
"441869",982.639308895053,-0.156928252113922,0.150505931930073,-1.0426715419219,0.297100442419301,0.482589438651216,"441869"
"105378585",61.1896848908901,-0.591246464585424,0.210903874475445,-2.80339309107506,0.00505679942793358,0.0274342580225076,"105378585"
"643965",219.466523640927,-2.76535400650867,0.409042355484496,-6.76055662556805,1.37462590544298e-11,4.22370992271173e-09,"643965"
"102724312",307.797002802105,-0.784666483412317,0.351051891044707,-2.23518660183599,0.0254051007190882,0.0887553696384178,"102724312"
"107985729",7.52292076160604,-0.94178674745728,0.302112538049226,-3.11733751117547,0.00182492515149973,0.0131357203950263,"107985729"
"64856",1864.41211851642,-0.884000488904025,0.254852806658184,-3.46867080059147,0.000523039934210671,0.00520730847421325,"64856"
"219293",248.867169686009,0.297725947143722,0.242841532464234,1.22600917611806,0.220195221941905,0.396383650717976,"219293"
"83858",1017.90330282646,-0.50935642973818,0.101608985370052,-5.01290735148217,5.36137154566834e-07,2.84639036639468e-05,"83858"
"55210",728.792535645711,-0.184546753574275,0.0888547105897571,-2.07694957700474,0.0378062132987354,0.11829448272482,"55210"
"339453",569.894807575771,-0.035279772312914,0.133441267965426,-0.264384270704433,0.791483830616252,0.879223790689537,"339453"
"29101",3329.73958069454,0.232309481443857,0.0854669614637362,2.71812028256587,0.00656539659998418,0.0328684345874157,"29101"
"643988",760.07772004698,-0.236232625876371,0.162377157154352,-1.4548390304174,0.145713830058023,0.300234003072612,"643988"
"105378586",85.4672732832575,-0.447714673070106,0.155465928118574,-2.87982504262049,0.00397895908250029,0.0230894223812417,"105378586"
"142678",3672.16378546481,-0.155397348968743,0.0925462736255612,-1.67913134566039,0.0931264484179952,0.220959578046596,"142678"
"8510",137.572207736594,0.27633370878536,0.17915628543631,1.54241704728577,0.122972281611559,0.268485140630462,"8510"
"984",1654.43955206669,-0.00379158101237342,0.085429351114036,-0.0443826502593025,0.964599391107752,0.981092631507319,"984"
"728661",3746.85362017135,-0.0369853078722122,0.093219175154418,-0.396756437835305,0.69154707722688,0.815139479491414,"728661"
"8511",36.1854197097533,0.0281207730390254,0.220837857090898,0.12733674112519,0.898673881769678,0.943828356666544,"8511"
"728642",1189.25080553456,0.170879543970537,0.136491249699705,1.25194504663478,0.210589888852539,0.384857943002374,"728642"
"9906",2782.20207259554,0.00539765168915228,0.0922043981771398,0.05854006745733,0.953318447984654,0.974366767979658,"9906"
"112268218",186.772338451337,0.332888371359406,0.116138933571037,2.86629436937091,0.00415307868400324,0.0238687928761944,"112268218"
"65220",1161.6924717613,0.0365716208007299,0.0581726759267435,0.628673517559762,0.529562819010461,0.694916915123647,"65220"
"2782",20311.3963840004,-0.106488376216866,0.084645208876735,-1.258055566641,0.208371661173884,0.382095024491999,"2782"
"105378949",42.1902895734475,-0.14828933369088,0.162160792507805,-0.914458614795821,0.360475914440221,0.546629145765273,"105378949"
"163688",47.290049980396,-0.453314366618213,0.174051187243542,-2.6044887931957,0.00920114299919237,0.0420162169911105,"163688"
"339456",30.9810833471394,-0.375239743930015,0.189257126488516,-1.98269809381674,0.047401162647733,0.138899744725904,"339456"
"85452",229.422434152486,-0.452249274517642,0.164288128252221,-2.75278122241025,0.00590913703948956,0.0305482505683152,"85452"
"107984872",18.8747880803891,-0.319464670174959,0.21414354959544,-1.49182485663702,0.135745065861604,0.286834820247924,"107984872"
"105378589",104.340269125337,-0.29280751770665,0.209946625890899,-1.3946759871188,0.163113569253569,0.324135812249852,"105378589"
"2563",3536.89611546483,-0.64080429280563,0.191284498385555,-3.35000639473681,0.000808096947528739,0.00722307188068876,"2563"
"5590",4857.08149007923,-0.134263859708447,0.101792392661517,-1.31899699179785,0.187170118157468,0.35626673954071,"5590"
"100506504",170.90323788983,-0.433839399249423,0.198051651618627,-2.19053663882002,0.0284853406307605,0.0965657368700487,"100506504"
"199990",2270.63234761717,0.140361042788325,0.116092676195265,1.20904304550824,0.226646308382471,0.40437522848164,"199990"
"112268219",83.3328025865644,-0.239570815488466,0.120417895213454,-1.98949512498787,0.0466465793691194,0.137418452477508,"112268219"
"105378593",15.9400294816076,-0.397618545188902,0.227980523669381,-1.74408997220101,0.0811434023578634,0.201270027584121,"105378593"
"6497",2913.1383011,-0.1987674733855,0.156991886225218,-1.26610029451045,0.205477177198236,0.378571635913915,"6497"
"79906",262.003116157183,-0.426307370988744,0.159930267888097,-2.66558279816695,0.00768550036576245,0.0369051151574149,"79906"
"100129534",144.831968895876,-0.198984834154417,0.17963497006095,-1.10771769041908,0.267983756898374,0.451703061438038,"100129534"
"11079",2686.36753288464,0.00565584941799735,0.055386393868494,0.102116224273894,0.918664423225541,0.95536388467058,"11079"
"5192",1052.24861070305,-0.0350053808213245,0.0754153519162633,-0.464167837606756,0.642527502163059,0.780141690820951,"5192"
"9651",2495.35616374061,-0.182914263029844,0.157838932001901,-1.15886657816236,0.246510574010491,0.427024412949392,"9651"
"55229",993.98546267461,0.170556664254382,0.0817603522094338,2.08605588950364,0.0369735607213322,0.116444214745813,"55229"
"388585",93.6108294466475,-0.0518474968317515,0.21183166283427,-0.244758012744843,0.806643806150007,0.889392275902634,"388585"
"115110",91.1553081809903,-0.00135325392965351,0.156871164962114,-0.00862653075841145,0.993117109662058,0.996429779095078,"115110"
"8764",743.726363839959,0.0646975877099861,0.136192954202899,0.475043573939958,0.634755915635386,0.774147117947577,"8764"
"100996583",8.51730256445518,0.826904827754021,0.281350920918726,2.93905143460643,0.00329218434748616,0.0200984907780016,"100996583"
"127281",2031.50865488131,-0.0916135957755585,0.107992140474607,-0.848335771223097,0.396251001455072,0.581484581847669,"127281"
"79258",392.210434450029,0.0762289339794403,0.116719784690131,0.653093510940016,0.513695995401915,0.681554556213876,"79258"
"105378597",10.5943849889579,0.463587445620463,0.269196310954755,1.72211663665175,0.0850483919603802,0.207480599719939,"105378597"
"100287898",83.5415690956512,-0.311575292258048,0.202413281000254,-1.53930261254773,0.123730436456178,0.26962924277742,"100287898"
"105378600",3.45602136926797,-1.12985231401185,0.557395354247542,-2.02702140482872,0.0426602236880696,0.129210031394893,"105378600"
"105378598",42.9377948244308,-0.384843766050798,0.407018342370266,-0.945519466787826,0.344393737204698,0.52974135543212,"105378598"
"107984904",3.05416825927426,-2.25117947978482,0.640767577116428,-3.51325435334219,0.000442653509194503,0.00460412977349887,"107984904"
"440556",893.53181526345,-0.142562568989094,0.231328009886338,-0.616278889266985,0.537710469410159,0.701191567563455,"440556"
"63976",650.905264977157,0.302081576330176,0.200679395361091,1.5052944313821,0.132248396235518,0.281625039232892,"63976"
"105378606",12.9985268639879,1.458305679526,0.346634614026707,4.20703997960701,2.58737381506619e-05,0.000560848639754339,"105378606"
"107984909",3.47170127279768,0.954788080947972,0.461423433959448,2.06922321381684,0.0385251453142923,0.120069303533742,"107984909"
"105378605",19.3176173749009,0.419085366675305,0.265691245964177,1.57733976200259,0.114717367920993,0.255515369777629,"105378605"
"105378604",33.8628269554103,0.0997222574987081,0.317552928923279,0.31403349935028,0.753495596000025,0.85534999530078,"105378604"
"27237",92.7857150343506,-0.0281856827058762,0.150734403395383,-0.18698904875713,0.851669219332985,0.918076503384102,"27237"
"1953",431.899607503897,-0.0504122683302023,0.132588066681664,-0.380217236678163,0.703784165336937,0.823129779138185,"1953"
"127262",5673.06887203624,-0.131617306011955,0.102609493780979,-1.28270105583888,0.199596829864521,0.371128060567826,"127262"
"49856",550.03423853852,-0.00996690124256873,0.0791308607207694,-0.125954667392525,0.899767808883161,0.944533332343568,"49856"
"7161",57.3728677513385,-0.150996220521716,0.183232892698316,-0.824067220126923,0.409901364449034,0.593286547696032,"7161"
"57212",1009.609722732,-0.250460339404556,0.110034507236733,-2.2761981281536,0.0228341539086984,0.0822388114852835,"57212"
"148870",5.13722225340238,-0.523358170704412,0.321443134308432,-1.62815165372995,0.103492733179591,0.237997462277812,"148870"
"388588",17.7340589676835,-0.074530198512429,0.247857465573801,-0.300697815738124,0.763644934536158,0.861297489783629,"388588"
"57470",2301.23228785619,-0.100497200305558,0.0697862801777449,-1.44007102899872,0.14984730457696,0.306006197042971,"57470"
"9731",1037.54998041364,-0.122034987433035,0.102053952075128,-1.19578894253109,0.231778932037791,0.410465993781301,"9731"
"1677",469.065361819742,-0.0255471253692376,0.113602231623351,-0.224882249267244,0.822070878666427,0.898622504936161,"1677"
"107984910",13.682614884532,0.21472871056561,0.342290285186333,0.627329257821962,0.53044342869418,0.695630332297352,"107984910"
"339448",540.438044404858,-0.0233348776585213,0.0720731534306265,-0.323766569766954,0.746114767510094,0.85074431913775,"339448"
"728716",6.47366668764757,0.405702233647029,0.386669841470025,1.0492212997648,0.294076277673819,0.479551162541871,"728716"
"105376672",7.7046349033504,0.317746102754591,0.333513428065856,0.952723566775991,0.340730149505942,0.526429151791676,"105376672"
"55966",2037.73538828667,0.104478493218491,0.125251986705212,0.834146395333332,0.40419849357907,0.588497492783695,"55966"
"261734",707.471839204319,-0.27685529824973,0.0794053150989919,-3.48660915084316,0.000489185714292617,0.00495454225093812,"261734"
"8514",13140.8292410885,-0.310026126103603,0.146821657130761,-2.11158307406577,0.0347222255911743,0.111249612520419,"8514"
"26038",9938.8543373685,-0.342532813842167,0.182188284775685,-1.8801034010716,0.0600939870565436,0.163618951319603,"26038"
"105376687",10.4429182266602,-0.676933464466384,0.350507667330599,-1.93129431268018,0.0534466663206213,0.150852279805626,"105376687"
"6146",6835.11681294313,0.335894489963319,0.0907264023592518,3.70227939418636,0.00021367112827108,0.00265667678504371,"6146"
"107985733",85.798051543378,0.0994667911282046,0.11665281339334,0.852673743862603,0.393840255162918,0.579699839051479,"107985733"
"102724450",33.566105494472,-0.352102449435676,0.176310723843396,-1.99705634325694,0.0458190626953392,0.135712541283785,"102724450"
"388591",631.261663024987,-0.368878052899588,0.145410350436027,-2.5368073991533,0.011186848098165,0.0484544362564697,"388591"
"23463",1847.25894369052,0.00621152054726455,0.0660655669001043,0.0940205441157691,0.925092837179743,0.958672303149884,"23463"
"387509",460.454389419114,0.0655112822279566,0.162408165656581,0.403374312880813,0.686672880628102,0.811297066327797,"387509"
"11332",4345.39183130374,-0.21912295629985,0.138014843964174,-1.58767673103866,0.112359457372944,0.252067885523805,"11332"
"83715",179.57514030702,0.344394711979963,0.261550093724462,1.31674474696528,0.187924199082659,0.357176582204503,"83715"
"8718",1359.0668199146,-0.154771530215765,0.224485056939285,-0.68945137073255,0.490539265461889,0.662249224005781,"8718"
"57449",2554.22111190171,-0.512823158772694,0.209445612598276,-2.448478879127,0.0143460840693086,0.0583746221664747,"57449"
"79707",693.278499693843,-0.410220409924758,0.0825308572443747,-4.97050949937538,6.67771895552812e-07,3.35674866351404e-05,"79707"
"80835",5.35634226468826,0.0249548480913872,0.326595086123756,0.076409135200311,0.939093602015875,0.966903737587007,"80835"
"3104",515.46566690255,-0.073903858780574,0.0959525025200011,-0.770212937022345,0.441173591032899,0.620074792222521,"3104"
"9903",2227.37216948209,0.0447425274796023,0.111148924895982,0.402545751310453,0.687282424775974,0.811669514913914,"9903"
"107984913",43.2436364298009,0.266882482289165,0.204705780145462,1.3037369149983,0.192323298393155,0.36228822115121,"107984913"
"148479",665.685491210574,-0.0525067773710165,0.0641648452595913,-0.818310667758805,0.413179816270104,0.596365866909563,"148479"
"90326",1113.93119190051,0.0583965082761822,0.0859643057764848,0.679311113475616,0.496940756230043,0.667539249625154,"90326"
"55735",1356.19084662836,-0.166580782058085,0.0693541399170029,-2.40188663946283,0.0163107621085979,0.0643245376851347,"55735"
"110841581",17.9039858203458,0.240994230883701,0.21179019451723,1.13789135249174,0.255165852614018,0.436690855569666,"110841581"
"23261",5252.866198521,-0.111670214156603,0.109361914579743,-1.02110697847355,0.307203757201976,0.492941807936665,"23261"
"105376689",200.288226885683,-0.740332033278883,0.212965664310233,-3.47629762608315,0.000508387754292989,0.00509652503600161,"105376689"
"9341",2269.05828797358,0.146486693868091,0.156541827287225,0.935767113535193,0.349393107213895,0.53523346037479,"9341"
"8863",1960.87066206545,-0.229548988097405,0.141357959015665,-1.62388442572212,0.104400477069097,0.239502391678533,"8863"
"10911",1.9189314961265,0.0867284775673741,0.636691648433016,0.136217394685205,0.891649424368832,0.940146463364228,"10911"
"11315",5855.65617000846,0.173235478130191,0.0913022126330948,1.89738532215371,0.0577771013990429,0.159074700883722,"11315"
"54206",1289.88579855294,0.219358898547627,0.0927267939393735,2.36564739519678,0.0179985772301128,0.0689132440643928,"54206"
"50651",720.779240604711,-0.367962771648499,0.10731133046179,-3.42892749596015,0.000605971384053824,0.0058071365842975,"50651"
"473",5724.66017732673,0.194558518424965,0.0793996838852015,2.45036892975876,0.0142709909032536,0.0581405812321231,"473"
"102724552",9.30450935305721,0.937524942702976,0.29865814281685,3.13912399595248,0.0016945372762792,0.012452442687061,"102724552"
"2023",21127.4719677236,0.0689383315296701,0.0727202462372544,0.94799364821668,0.343132687797943,0.528546471911345,"2023"
"100505975",11.2126906412528,-0.0905550218570874,0.224080830081781,-0.404117665148055,0.686126195357397,0.811044386058195,"100505975"
"6518",492.792638578351,0.657337174948139,0.245362281924207,2.67904736536153,0.00738319490947664,0.0358139958716055,"6518"
"80045",35.1354494413929,-0.0578543333440536,0.158086217969899,-0.365966964653866,0.714389726505323,0.830197785197502,"80045"
"106614088",146.992708997052,-0.345039591571294,0.144661227598708,-2.38515597647518,0.017071881395816,0.0664203729962888,"106614088"
"102724571",6.55131104450887,-0.266424840177707,0.30796906586009,-0.865102601891657,0.386982476759702,0.572864574599833,"102724571"
"9563",1013.97108410774,-0.348261743077637,0.139481752092932,-2.49682655868562,0.0125310230059382,0.0528254290017092,"9563"
"80176",365.630831714871,-0.0407717717902288,0.199521590881404,-0.204347667889555,0.838081822185043,0.909425394080661,"80176"
"100506022",57.6625812561879,-0.83196180966183,0.212624946148416,-3.91281373485266,9.12269009827773e-05,0.00141212119210179,"100506022"
"84275",952.677813714057,0.118630023320014,0.0971392492862853,1.22123677289694,0.221996384866196,0.398895697104969,"84275"
"199953",703.357068522534,-0.329396921719369,0.0824691420174648,-3.99418392942189,6.49174561842605e-05,0.00109147468568078,"199953"
"107985734",23.1740516561356,0.18133865782786,0.194324052751949,0.933176594764286,0.350728797120199,0.536415166874789,"107985734"
"5293",1761.97867612599,0.111341167307862,0.131649432987846,0.845739816578934,0.397697905862875,0.582726050549317,"5293"
"22883",24311.8102907839,-0.264564197438629,0.11287693212864,-2.34382873851601,0.0190869334741101,0.0719956493919434,"22883"
"56998",1640.59473930212,-0.416262453780777,0.0875871992007364,-4.75254897495657,2.0086809327428e-06,7.67890917694414e-05,"56998"
"105376717",38.9209886454055,-0.76980107331176,0.172988893572234,-4.45000287252731,8.58691408671376e-06,0.000242614868006334,"105376717"
"84328",1416.7515045693,0.140147569629947,0.0832180247941104,1.68410113045444,0.0921621259399072,0.219407441155658,"84328"
"64802",316.951270377482,0.0484614907225936,0.0717211194802085,0.675693450880485,0.499235294896484,0.669450809222108,"64802"
"116362",143.671972535718,-0.614754447192156,0.320092985038806,-1.92054957754737,0.0547885171670215,0.153485529316941,"116362"
"10277",2414.76981592561,-0.152084004244351,0.0714136854814669,-2.12961987914515,0.0332030084951754,0.107744310471275,"10277"
"23095",15405.6608036279,-0.23507276886562,0.0907579263679194,-2.59010731374215,0.00959460168989319,0.0431871276578034,"23095"
"105376725",17.8091136387417,-0.523391986472579,0.261500055177644,-2.001498569922,0.0453386877340543,0.13463037970413,"105376725"
"5226",2186.30230296699,-0.0331332405373661,0.0612822290358795,-0.540666373574096,0.588737559930989,0.740071883110193,"5226"
"100526739",266.879736454366,-0.142035195641238,0.157907482594749,-0.899483629954097,0.368395111450205,0.554532776151714,"100526739"
"378708",163.430086556661,0.148386248185463,0.122322719782271,1.21307185165261,0.225102350796413,0.402517522890784,"378708"
"1325",181.481105073871,-0.336643815017924,0.182443400743182,-1.8451958999153,0.0650090467266619,0.172961075612953,"1325"
"1676",1355.44770521282,-0.0406864061055036,0.0778208202407603,-0.522821604547843,0.601098403620819,0.748859494805792,"1676"
"5195",945.503740833683,-0.170519188810427,0.0848781491215045,-2.00898806789867,0.044538399166226,0.13309000606674,"5195"
"54897",96.1521701295774,-0.0182579148295723,0.143155405078302,-0.127539123092039,0.898513710245161,0.943828356666544,"54897"
"148345",3.50863458872854,-0.0711512882585904,0.348942528900898,-0.203905463982001,0.838427375145228,0.909564791708925,"148345"
"23435",5269.22237568453,0.157448746594411,0.0598842340697245,2.62921867567163,0.00855813090759147,0.039933388352255,"23435"
"10747",310.644799066454,-0.198383704818647,0.118319916100424,-1.67667212213258,0.0936066149236362,0.22185444084112,"10747"
"6723",1334.38104561869,-0.121937661118251,0.100837091455755,-1.20925404886112,0.226565258680798,0.404297685926148,"6723"
"5394",2369.12603043141,-0.0191365211901509,0.0805409792911329,-0.237599807682718,0.812191499690428,0.892749947666191,"5394"
"105376736",38.3718079509257,-0.21638880157074,0.14289656861025,-1.51430369305046,0.129948832343389,0.278311783728752,"105376736"
"2475",2329.92058995005,-0.122247892776926,0.08620959362256,-1.41803119165771,0.156181658392279,0.314990264599656,"2475"
"100873935",24.0918256634159,-0.0890358274967808,0.221463107057809,-0.402034581197941,0.687658576425505,0.811879705433014,"100873935"
"10218",20.0918482724404,0.681871330290921,0.389945713497291,1.74863142916856,0.0803547499169901,0.20000001090619,"10218"
"29914",482.554991989471,-0.0299612223377511,0.100323869007846,-0.298645004763603,0.765210922750325,0.862437085590147,"29914"
"105376740",4.29945198820219,-0.748088553672405,0.320401956860628,-2.33484389734179,0.0195515770504627,0.0732506196429543,"105376740"
"57540",376.668988702496,-0.194693373701319,0.144139266048657,-1.350730991204,0.176781620950233,0.342621542582801,"57540"
"112268221",24.6023007185291,-0.241728338813308,0.200924645185216,-1.20307958533647,0.228945524510667,0.406916268892901,"112268221"
"26232",5477.26326618597,0.263780906397832,0.133325885770214,1.97846730868496,0.0478760130320678,0.139634584283491,"26232"
"93611",6000.41424425097,-0.0934494085336576,0.100258358451271,-0.932085962479395,0.351292101980933,0.536976006392221,"93611"
"26270",297.201943377272,0.048895245603767,0.077965937907751,0.627135989329335,0.530570097853161,0.695691894432118,"26270"
"10459",536.351296949448,0.218053194764431,0.112138813705925,1.94449350370567,0.0518359680537244,0.147372187222831,"10459"
"374946",83.4419248467937,-0.0118168105134316,0.192154144703495,-0.0614965164122043,0.95096378865771,0.973164573429306,"374946"
