symbol	entrez	cor_ctrl	cor_hd	padj_ctrl	padj_hd	group
H2AZ1	3015	1	1	0	0	Both
RORA-AS1	101928784	0.649285714285714	0.935338345864662	6.7020881428591e-06	1.64350150984188e-05	Both
ATP5MK	84833	0.693265306122449	0.930827067669173	8.31512638933896e-07	1.64350150984188e-05	Both
COPRS	55352	0.667857142857143	0.930827067669173	2.90755387698637e-06	1.64350150984188e-05	Both
AKR1B1	231	0.616938775510204	0.921804511278196	2.57505307129352e-05	3.77013723174692e-05	Both
LOC112268048	112268048	0.763979591836735	0.920300751879699	1.34196569459497e-08	3.77013723174692e-05	Both
MRPL14	64928	0.442959183673469	0.915789473684211	0.00535669851752577	5.21575804787485e-05	Both
SLA2	84174	0.769591836734694	0.914285714285714	9.60468134945075e-09	5.32193650081226e-05	Both
GSTO1	9446	0.648979591836735	0.912781954887218	6.77706966347379e-06	5.50118909056818e-05	Both
SELENOH	280636	0.690918367346939	0.911278195488722	9.41179450120343e-07	5.53534570603806e-05	Both
OAS3	4940	-0.396122448979592	-0.909774436090226	0.0146388347101033	5.53534570603806e-05	HD_only
SLMO2-ATP5E	100533975	0.409591836734694	0.909774436090226	0.0111809547502696	5.53534570603806e-05	Both
SMDT1	91689	0.379795918367347	0.908270676691729	0.0201834539956126	5.89584879663918e-05	HD_only
THAP11	57215	0.56030612244898	0.906766917293233	0.000200853534383369	6.30192448747794e-05	Both
TDP2	51567	0.817142857142857	0.905263157894737	2.25594549815302e-10	6.75465199471212e-05	Both
RRAGA	10670	0.822959183673469	0.903759398496241	1.38483337552145e-10	7.25572407053564e-05	Both
CSTF1	1477	0.192551020408163	0.899248120300752	0.283857875694102	0.00010140299883626	HD_only
CMC2	56942	0.511632653061224	0.896240601503759	0.000910314033168835	0.000123391392154097	Both
AMZ2P1	201283	0.673469387755102	0.894736842105263	2.2388661560297e-06	0.000132308104568002	Both
CHCHD1	118487	0.717551020408163	0.893233082706767	2.30185961465262e-07	0.000135239660283103	Both
IMP3	55272	0.579489795918367	0.893233082706767	0.000103699757715738	0.000135239660283103	Both
ARG2	384	0.856734693877551	0.891729323308271	4.37910219968449e-12	0.000138677785923778	Both
YTHDF2	51441	0.736326530612245	0.890225563909774	7.85864647660891e-08	0.000138677785923778	Both
PSMD6	9861	0.76	0.890225563909774	1.78560602609438e-08	0.000138677785923778	Both
MRFAP1L2	93622	0.732448979591837	0.890225563909774	1.00700464285985e-07	0.000138677785923778	Both
NDUFB6	4712	0.788673469387755	0.890225563909774	2.57489912020059e-09	0.000138677785923778	Both
KGD4	92259	0.731020408163265	0.888721804511278	1.07931940110732e-07	0.000150083156813084	Both
PITPNA-AS1	100306951	0.578775510204082	0.887218045112782	0.000106406668117268	0.00016238193556681	Both
MED8	112950	0.27030612244898	0.885714285714286	0.116543250251477	0.00016429999011686	HD_only
TGIF2-RAB5IF	100527943	0.880714285714286	0.885714285714286	2.55937499570971e-13	0.00016429999011686	Both
RAB5IF	55969	0.645408163265306	0.885714285714286	7.88771531635748e-06	0.00016429999011686	Both
TRIAP1	51499	0.562755102040816	0.882706766917293	0.000184878946191383	0.000198810159195083	Both
FHL2	2274	0.701938775510204	0.881203007518797	5.31009461181863e-07	0.000202693863830739	Both
PTS	5805	0.674183673469388	0.881203007518797	2.1771805291847e-06	0.000202693863830739	Both
NME1-NME2	654364	0.544795918367347	0.881203007518797	0.000333150745377768	0.000202693863830739	Both
LOC102724916	102724916	0.658469387755102	0.879699248120301	4.4426892022216e-06	0.000213500583778542	Both
BID	637	0.46469387755102	0.879699248120301	0.00316636349350288	0.000213500583778542	Both
TMEM126A	84233	0.707959183673469	0.878195488721805	3.87617575391744e-07	0.000231151624587242	Both
NRBP2	340371	-0.771020408163265	-0.876691729323308	8.63845303998166e-09	0.000250091132550894	Both
EML6	400954	0.729489795918367	0.875187969924812	1.17257146068058e-07	0.000263802214536454	Both
AKTIP	64400	0.731938775510204	0.875187969924812	1.03690780013096e-07	0.000263802214536454	Both
LOC101930434	101930434	-0.344676420569892	-0.874723209158584	0.038041695500646	0.000265811721008169	HD_only
HINT1	3094	0.825714285714286	0.873684210526316	1.13301622224344e-10	0.000278563489699903	Both
SMIM15-AS1	101928630	-0.466836734693877	-0.87218045112782	0.00300424373326323	0.000288011325680255	Both
FDX1	2230	0.806428571428571	0.87218045112782	5.78257605115598e-10	0.000288011325680255	Both
RETREG3	162427	-0.351836734693877	0.87218045112782	0.0336092824864952	0.000288011325680255	HD_only
DYNLT2B	255758	0.685816326530612	0.870676691729323	1.21040471394551e-06	0.000304900584763627	Both
COX7C	1350	0.597959183673469	0.870676691729323	5.32514781038064e-05	0.000304900584763627	Both
TXNDC17	84817	0.628775510204082	0.866165413533835	1.5883128312639e-05	0.000399730008547299	Both
CFAP43	80217	0.249183673469388	-0.864661654135338	0.15199690511659	0.000430700332527426	HD_only
GLRX3	10539	0.795102040816327	0.863157894736842	1.5226724732732e-09	0.000463738552070971	Both
ASNSD1	54529	0.793367346938775	0.86015037593985	1.75730393789124e-09	0.000536479398573602	Both
ABCC11	85320	-0.591224489795918	-0.86015037593985	6.82449370455514e-05	0.000536479398573602	Both
COQ3	51805	0.678367346938775	0.858646616541353	1.78692830998827e-06	0.000576424743889394	Both
NDUFA2	4695	0.195714285714286	0.857142857142857	0.274783177175435	0.000597207090510858	HD_only
MIR4700	100616329	0.441428571428571	0.857142857142857	0.0055478499467367	0.000597207090510858	Both
TDRD9	122402	0.376326530612245	0.857142857142857	0.0215690557190563	0.000597207090510858	HD_only
UBE2B	7320	0.721734693877551	0.854135338345865	1.84106504842923e-07	0.000687985640805183	Both
PSMA7	5688	0.689183673469388	0.854135338345865	1.03016479050402e-06	0.000687985640805183	Both
BCL9	607	-0.42234693877551	-0.852631578947368	0.00851098853673082	0.000725583441141057	Both
LOC102723553	102723553	0.71	0.852631578947368	3.49254137007632e-07	0.000725583441141057	Both
TRAPPC3	27095	0.740918367346939	0.851127819548872	5.94080695655642e-08	0.00075338051935821	Both
ATP6V0B	533	0.45234693877551	0.851127819548872	0.00430306790649754	0.00075338051935821	Both
SUMO1	7341	0.763571428571429	0.851127819548872	1.38183396393114e-08	0.00075338051935821	Both
LOC112268267	112268267	-0.0942857142857143	-0.849624060150376	0.627627248089901	0.000783242507215143	HD_only
NDUFB2	4708	0.244387755102041	0.849624060150376	0.160933066147712	0.000783242507215143	HD_only
NME2	4831	0.439285714285714	0.849624060150376	0.00581225049221869	0.000783242507215143	Both
CLPTM1L	81037	0.364591836734694	0.84812030075188	0.0267781624145109	0.00081518685411823	HD_only
ADHFE1	137872	-0.547244897959184	-0.84812030075188	0.000308486810817778	0.00081518685411823	Both
NRDE2	55051	0.495102040816326	0.84812030075188	0.00143625016255428	0.00081518685411823	Both
MIR12127	113219470	0.715918367346939	0.846616541353383	2.50088218898878e-07	0.000837766149889458	Both
MRPL47	57129	0.787857142857143	0.846616541353383	2.692602307998e-09	0.000837766149889458	Both
LYSMD2	256586	0.823061224489796	0.846616541353383	1.38483337552145e-10	0.000837766149889458	Both
PIMREG	54478	0.48469387755102	0.846616541353383	0.00190075647201996	0.000837766149889458	Both
TMEM70	54968	0.888571428571428	0.845112781954887	9.87757898051596e-14	0.000885447664775449	Both
MRM3	55178	0.348163265306122	0.845112781954887	0.0358108315706234	0.000885447664775449	HD_only
POLE4	56655	0.145816326530612	0.843609022556391	0.431040961078269	0.00091230144211611	HD_only
UBE2F	140739	0.589183673469388	0.843609022556391	7.33764590967073e-05	0.00091230144211611	Both
C5	727	-0.61469387755102	-0.843609022556391	2.82706153458966e-05	0.00091230144211611	Both
SERP2	387923	0.540510204081633	0.843609022556391	0.00038231455501441	0.00091230144211611	Both
GGPS1	9453	0.649489795918367	0.842105263157895	6.63643678221613e-06	0.00095288186897611	Both
POLR1C	9533	0.375102040816326	0.842105263157895	0.0220791874853337	0.00095288186897611	HD_only
ZMAT1	84460	-0.266122448979592	-0.842105263157895	0.123001965099419	0.00095288186897611	HD_only
OSBPL9	114883	-0.332040816326531	-0.840601503759399	0.0469063073775044	0.000984306852024646	HD_only
SLC25A38	54977	0.202551020408163	0.840601503759399	0.256581045928083	0.000984306852024646	HD_only
SS18L2	51188	0.602448979591837	0.840601503759399	4.51033971851459e-05	0.000984306852024646	Both
BNIP3	664	0.772142857142857	0.840601503759399	8.01785858394311e-09	0.000984306852024646	Both
GHRLOS	100126793	0.259387755102041	0.839097744360902	0.134309322332983	0.0010294145697964	HD_only
PPA1	5464	0.82530612244898	0.839097744360902	1.17241473788873e-10	0.0010294145697964	Both
FHIP1B	84067	-0.555714285714286	-0.839097744360902	0.00023463305297818	0.0010294145697964	Both
MAD2L1BP	9587	0.676224489795918	0.83609022556391	1.98371244240518e-06	0.0011509279858721	Both
STOML2	30968	0.345816326530612	0.83609022556391	0.0372865435188883	0.0011509279858721	HD_only
COX16	51241	0.590204081632653	0.83609022556391	7.08048112491321e-05	0.0011509279858721	Both
RAMAC	83640	0.759897959183673	0.83609022556391	1.79587708445061e-08	0.0011509279858721	Both
MTIF2	4528	0.450102040816326	0.834586466165414	0.0045377735746023	0.00121640250681484	Both
LOC107985221	107985221	-0.327448979591837	-0.833082706766917	0.0505363309397439	0.00125949475530437	HD_only
LOC112268415	112268415	0.674081632653061	0.833082706766917	2.18159393361254e-06	0.00125949475530437	Both
CCT4	10575	0.823571428571429	0.833082706766917	1.32304342242168e-10	0.00125949475530437	Both
GEMIN7	79760	0.168061224489796	0.833082706766917	0.356522436077831	0.00125949475530437	HD_only
MIR4444-2	100846999	0.16530612244898	-0.831578947368421	0.365270675650896	0.00130524467196786	HD_only
EEF1E1	9521	0.734591836734694	0.831578947368421	8.78672899852475e-08	0.00130524467196786	Both
NUP42	11097	0.482755102040816	0.831578947368421	0.0019951529675557	0.00130524467196786	Both
GON7	84520	0.781836734693877	0.831578947368421	4.08551518322169e-09	0.00130524467196786	Both
NME7	29922	0.623673469387755	0.830075187969925	1.97177382416737e-05	0.00132907107867897	Both
LOC107986924	107986924	0.75734693877551	0.830075187969925	2.141711039427e-08	0.00132907107867897	Both
ALAD	210	-0.584081632653061	-0.830075187969925	8.85128381366975e-05	0.00132907107867897	Both
SRSF9	8683	0.392755102040816	0.830075187969925	0.0156703341348771	0.00132907107867897	HD_only
TXNL4A	10907	0.547857142857143	0.830075187969925	0.000302691206551143	0.00132907107867897	Both
OAZ1	4946	0.71734693877551	0.830075187969925	2.32870710726743e-07	0.00132907107867897	Both
JTB	10899	0.427040816326531	0.828571428571429	0.0076810655409742	0.00139242009483203	Both
GTF3A	2971	0.622244897959184	0.828571428571429	2.10071892255269e-05	0.00139242009483203	Both
LOC107984638	107984638	-0.330408163265306	-0.828571428571429	0.0481705302731294	0.00139242009483203	HD_only
MICOS10	440574	0.462040816326531	0.827067669172932	0.00339246246849871	0.00141017453006883	Both
HENMT1	113802	0.68030612244898	0.827067669172932	1.61630797106272e-06	0.00141017453006883	Both
RAB24	53917	0.240510204081633	0.827067669172932	0.168647370974849	0.00141017453006883	HD_only
ELOC	6921	0.784081632653061	0.827067669172932	3.55881676273088e-09	0.00141017453006883	Both
RAD21-AS1	644660	-0.172857142857143	-0.827067669172932	0.341315642526674	0.00141017453006883	HD_only
PTMAP11	441454	-0.548775510204082	-0.827067669172932	0.000294623042052211	0.00141017453006883	Both
RPP30	10556	0.553979591836735	0.827067669172932	0.000248524651598661	0.00141017453006883	Both
PPM1K	152926	0.401734693877551	0.825563909774436	0.0130771696409052	0.00150306197857616	Both
MROH7	374977	-0.683877551020408	-0.82406015037594	1.33683271014663e-06	0.00157527562701211	Both
ALMS1	7840	-0.591020408163265	-0.82406015037594	6.8715296427153e-05	0.00157527562701211	Both
NDUFB2-AS1	100134713	0.206938775510204	0.82406015037594	0.245083561676116	0.00157527562701211	HD_only
PRICKLE2	166336	0.562244897959184	0.822556390977444	0.000187944641133162	0.00162523917830809	Both
CUX1	1523	-0.741326530612245	-0.822556390977444	5.85174048496518e-08	0.00162523917830809	Both
TSG101	7251	0.496224489795918	0.822556390977444	0.00139386419422927	0.00162523917830809	Both
GOLGA6L17P	642402	-0.468571428571429	-0.822556390977444	0.00287690498460483	0.00162523917830809	Both
ATP5PD	10476	0.566836734693878	0.822556390977444	0.000161109324087007	0.00162523917830809	Both
MIR4444-1	100616394	-0.22	-0.821052631578947	0.213329293567633	0.00169083683153554	HD_only
